Concepto,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022 R,2023 P
Millones de pesos a precios de 2018,,,,,,,,,,,,,,,,,,,,,
"a  PIBPM - Producto interno bruto, a precios de mercado",,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,17899317.915000003,18537507.51,18929250.875000004,19838803.942,20251027.283999994,20442061.698,19155182.675,20107450.915,20799960.586,21539026.999000005,21722561.396999996,22266442.952000003,22868154.246,23273490.765,23709107.314000003,24176670.378999997,24081730.904999994,22069934.772000004,23404831.103,24273381.816,25073284.629999995
Aguascalientes,176576.721,182404.561,185650.54199999996,200318.26500000004,219091.899,218472.947,201960.39600000004,219912.90600000002,230510.398,242758.40900000004,251657.00699999998,277675.25800000003,294497.17500000005,307395.8410000001,314242.379,327926.30700000003,329358.36400000006,307125.68299999996,315233.12,314592.145,334210.74700000003
Baja California,682996.9280000001,697268.689,716802.1710000001,772686.808,778767.048,756707.3190000001,658790.7119999999,686065.8649999999,698850.5070000001,726418.1060000001,733753.711,760856.967,795080.747,828692.2470000001,863600.6490000001,878816.8679999999,893946.249,839693.34,896313.559,919233.204,951065.688
Baja California Sur,102696.425,110723.35699999999,117708.46199999998,126685.37000000001,137545.25499999998,142084.05399999997,134464.676,138668.832,144956.375,147269.702,145215.69,147613.684,156072.034,163094.648,170784.40300000002,184618.10300000003,177860.75,151931.29,171064.57499999998,178120.33000000002,181154.954
Campeche,986877.724,998062.315,985831.2949999999,959641.0630000001,897799.8550000001,828677.1680000001,753908.784,730232.3240000001,711663.191,691262.0040000001,692549.897,685992.0249999999,700310.7410000002,663239.242,595666.96,564591.056,541962.926,500514.726,489604.295,472660.178,508300.28800000006
Coahuila de Zaragoza,725622.352,738323.009,751258.2829999998,798549.101,819995.3200000001,806977.0540000001,647795.108,775118.743,824838.4670000001,870634.531,864429.3829999999,902863.2409999999,897702.095,901719.484,941581.763,966054.662,953384.334,843597.571,921586.983,935812.8240000001,929624.5789999999
Colima,106240.46100000001,107179.093,107631.263,114843.83300000001,122046.01299999999,124498.00600000002,118472.23499999999,125595.851,133676.15900000004,135599.865,133729.29600000003,135090.725,141029.12900000002,140705.23799999998,150360.096,153808.394,161109.858,148143.273,147667.296,148449.257,154500.185
Chiapas,314665.411,304083.36399999994,310293.582,321113.546,324676.53200000006,337160.57800000004,332432.799,355978.85699999996,361270.25500000006,370237.30499999993,360620.9770000001,374691.48699999996,364001.282,369919.287,359734.408,353600.11299999995,348914.39199999993,337240.435,353638.51,374504.63499999995,380224.88999999996
Chihuahua,559444.758,577532.784,592161.2220000001,635597.824,664331.063,696713.272,626309.624,647629.946,662042.787,711480.757,732550.603,753194.78,803883.276,830488.5090000001,851284.313,853322.8040000001,866861.2990000001,808710.891,846063.938,911306.3180000001,940263.3389999999
Ciudad de México,2842788.554,2962342.2139999997,2991075.2439999995,3134225.2170000006,3142463.801,3183429.429,3008811.7660000003,3125716.6909999996,3231440.239,3332208.721,3363394.3249999993,3412110.1980000003,3503520.1130000004,3571368.187999999,3646318.1789999995,3694574.8740000003,3679917.3460000004,3293855.3080000007,3496055.8109999993,3650609.3719999995,3806082.926
Durango,231278.92399999997,242836.198,235761.59900000002,241373.384,248235.60500000004,261332.53200000004,256632.61299999998,261476.686,273067.299,286058.274,299615.205,307939.663,300289.37600000005,305382.23400000005,304646.65700000006,308981.254,309426.436,286240.782,303251.38099999994,300468.95300000004,309708.765
Guanajuato,708927.872,728133.105,731639.285,769496.2629999999,778043.648,798104.4099999999,761825.9269999999,812725.516,854766.2,892378.879,931176.5,978988.6640000001,1026150.1880000001,1064742.519,1115370.824,1120602.8439999998,1099063.445,1019446.377,1084518.1330000001,1110972.693,1130785.4229999997
