Concepto;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022 R;2023 P
Estados Unidos Mexicanos;17899317.915000003;1853750751;1.89293E+16;19838803942;2.0251E+16;20442061698;19155182675;20107450915;20799960586;2.1539E+16;2.17226E+16;2.22664E+16;22868154246;23273490765;2.37091E+16;2.41767E+16;2.40817E+16;2.20699E+16;23404831103;24273381816;2.50733E+16
Aguascalientes;176576.721;182404561;1.85651E+16;2.00318E+16;219091899;218472947;2.0196E+16;2.19913E+16;230510398;2.42758E+16;2.51657E+16;2.77675E+16;2.94497E+16;3.07396E+15;314242379;3.27926E+16;3.29358E+16;3.07126E+16;31523312;314592145;3.34211E+16
Baja California;682996.9280000001;697268689;7.16802E+15;772686808;778767048;7.56707E+15;6.58791E+15;6.86066E+15;6.98851E+15;7.26418E+15;733753711;760856967;795080747;8.28692E+15;8.63601E+15;8.78817E+15;893946249;83969334;896313559;919233204;951065688
Baja California Sur;102696.425;1.10723E+16;1.17708E+16;1.26685E+16;1.37545E+16;1.42084E+16;134464676;138668832;144956375;147269702;14521569;147613684;156072034;163094648;1.70784E+16;1.84618E+16;17786075;15193129;1.71065E+16;1.7812E+16;181154954
Campeche;986877.724;998062315;9.85831E+15;9.59641E+15;8.978E+15;8.28677E+15;753908784;7.30232E+15;711663191;6.91262E+15;692549897;6.85992E+15;7.00311E+15;663239242;59566696;564591056;541962926;500514726;489604295;472660178;5.083E+16
Coahuila de Zaragoza;725622.352;738323009;7.51258E+15;798549101;8.19995E+15;8.06977E+15;647795108;775118743;8.24838E+15;870634531;8.64429E+15;9.02863E+15;897702095;901719484;941581763;966054662;953384334;843597571;921586983;9.35813E+15;9.29625E+15
Colima;106240.46100000001;107179093;107631263;1.14844E+16;1.22046E+16;1.24498E+16;1.18472E+16;125595851;1.33676E+16;135599865;1.33729E+16;135090725;1.41029E+16;1.40705E+16;150360096;153808394;161109858;148143273;147667296;148449257;154500185
Chiapas;314665.411;3.04083E+16;310293582;321113546;3.24677E+16;3.37161E+16;332432799;3.55979E+16;3.6127E+16;3.70237E+16;3.60621E+15;3.74691E+16;364001282;369919287;359734408;3.536E+16;3.48914E+16;337240435;35363851;3.74505E+16;3.80225E+16
Chihuahua;559444.758;577532784;5.92161E+15;635597824;664331063;696713272;626309624;647629946;662042787;711480757;732550603;75319478;803883276;8.30489E+15;851284313;8.53323E+15;8.66861E+15;808710891;846063938;9.11306E+15;9.40263E+15
Ciudad de México;2842788.554;2.96234E+16;2.99108E+16;3.13423E+16;3142463801;3183429429;3.00881E+16;3.12572E+16;3231440239;3332208721;3.36339E+16;3.41211E+16;3.50352E+16;3.57137E+15;3.64632E+16;3.69457E+16;3.67992E+16;3.29386E+16;3.49606E+16;3.65061E+16;3806082926
Durango;231278.92399999997;242836198;2.35762E+16;241373384;2.48236E+16;2.61333E+16;2.56633E+16;261476686;273067299;286058274;299615205;307939663;3.00289E+16;3.05382E+16;3.04647E+16;308981254;309426436;286240782;3.03251E+16;3.00469E+16;309708765
Guanajuato;708927.872;728133105;731639285;7.69496E+15;778043648;7.98104E+15;7.61826E+15;812725516;8547662;892378879;9311765;9.78989E+15;1.02615E+16;1064742519;1115370824;1.1206E+16;1099063445;1019446377;1.08452E+16;1110972693;1.13079E+16
Guerrero;254042.53999999995;26539724;27264721;280082837;2.87333E+16;288164177;2.82203E+16;290708028;2.91758E+16;294551278;2.99721E+16;3.20204E+15;3.14104E+16;3.13422E+16;308568037;3.17845E+16;317146825;28996816;303633381;310093176;3.13713E+16
Hidalgo;331525.317;3.57756E+16;3.53466E+16;349080409;359175954;370254812;354594237;3.58637E+16;3.66544E+16;379811021;3.7972E+16;3.97901E+16;4.13909E+16;41846627;416408562;418630444;4.09266E+16;3.6494E+16;3.91962E+16;4.31395E+15;442970692
Jalisco;1212171.197;124690139;1274855822;1.34001E+16;1.38013E+16;1408019743;1315481838;1393675357;1433185382;1.48862E+16;1.51407E+16;1.56765E+16;1.62675E+16;1.67642E+16;1708140018;1.75418E+16;1.76712E+16;1624208871;1712483099;1.79761E+16;1.83458E+16
México;1533475.1709999996;1567254003;161755374;1710985648;1.75571E+16;1.76674E+16;1.65681E+16;1773209581;1852646107;1.9114E+16;1.92337E+16;1966749107;2.00757E+16;2.05875E+16;2.16613E+16;2.2438E+16;2.20965E+16;2035392322;2.16354E+16;2218442304;2275497833
Michoacán de Ocampo;448524.814;459993952;4.61304E+15;4.85162E+16;499362052;5.11752E+16;49132701;5.02495E+15;5.22287E+15;531827401;5.33526E+15;560341417;573505865;591409519;610394385;633756559;6.35628E+15;601188661;629066207;652212814;679343786
Morelos;217613.142;22415781;2.35326E+16;232043608;2.37034E+16;231184487;2.22778E+16;2.32495E+16;2.41158E+16;2.481E+16;258139365;2.59666E+16;265750876;274364869;277402793;273244597;2.69686E+16;2.44989E+16;2.59939E+16;26010203;265593143
Nayarit;112071.42300000001;1.28878E+16;135701452;1.35897E+16;1.33768E+16;1.43531E+16;134902594;1.37487E+16;141214937;142897855;145073201;1.45894E+16;1.47429E+16;152585941;155110355;1.55758E+16;1.57163E+16;142605244;155968659;16258392;1.6275E+16
Nuevo León;1289662.1219999997;1.33551E+16;1.36886E+16;1.46958E+16;1532409515;1.53166E+16;1.41104E+16;1.50956E+16;1.55883E+16;1.62193E+16;1.61157E+16;1.66697E+16;1728163992;1743960883;1809343556;1909026435;1.91883E+16;1743165623;1865875274;1928648573;199505468
Oaxaca;362456.14999999997;369439028;3.76461E+15;3.80271E+16;3.78474E+15;388520309;3.8569E+15;3.79991E+16;3.85968E+16;3865377;3.97816E+16;395065139;401404011;3.99768E+16;358236419;3.8316E+16;367363646;3.50911E+16;3.85418E+16;4.15531E+15;44731234
Puebla;576613.1250000001;5.92032E+15;6.21212E+15;650292566;67459997;674193135;624404773;671261179;7.0741E+15;7.47712E+15;7.35648E+15;747336718;76564997;7.81511E+15;835368657;8.49556E+15;8.56911E+15;7.6721E+15;794876174;82585047;8.52625E+15
Querétaro;361413.51800000004;3.84868E+16;4.03092E+16;4.27147E+15;4.51359E+16;4.51687E+16;430538218;4.70415E+16;5.09818E+16;5.26761E+15;522047708;5.42149E+15;574578187;576734826;591415259;6.11368E+15;609108252;553613926;578175108;5.89218E+15;6.14127E+15
Quintana Roo;196536.479;2.13012E+16;220251865;2.34333E+16;2.53901E+16;266797067;243054262;255104161;26825878;280380539;289182389;300005938;318607819;3.39733E+16;3.57117E+16;377340667;3.76757E+16;2.92733E+16;3.32542E+16;3.56639E+16;403785229
San Luis Potosí;321098.785;352876293;3.66859E+16;3.7736E+16;382599136;3.96937E+16;3.72395E+16;39380213;4.16108E+16;437595484;450257199;4.60034E+16;480024605;505856104;5.40244E+15;5.57796E+15;5.34392E+15;5.00251E+16;5.16191E+15;5.32771E+15;57559549
Sinaloa;371316.275;3.96223E+16;3.93984E+16;4112511;431732231;4.52117E+16;4.37071E+16;4.41733E+16;4.52499E+16;4.66782E+16;46571602;465691046;4.85181E+15;5.07492E+16;5.18703E+16;5.27714E+15;5.22342E+16;484352671;507429021;5.16397E+16;517683535
Sonora;510814.14800000004;5.33389E+15;559241969;605738979;614338181;6.2327E+15;574217794;595753065;6.48753E+15;681378519;7.09514E+15;721989413;7.60031E+15;792034337;7.84601E+15;7.82098E+15;783103494;7.31238E+15;760930124;7.90058E+15;827423757
Tabasco;396077.777;4.10827E+16;443012195;4.78125E+16;490366571;510292455;523308944;548305605;569065838;595176484;5.972E+15;5.94889E+15;5.5328E+15;5.32829E+15;502350996;4.71565E+16;4.45871E+16;464760608;5.45416E+15;6.37705E+15;6.56392E+15
Tamaulipas;582321.1939999999;609099706;6.38372E+15;657147376;670947628;6.86326E+15;6.30179E+15;642628688;647447553;6.76616E+15;680107018;6.87653E+15;712997104;709959659;709149522;732093584;752813525;6.914E+15;725029605;7.4869E+15;7.4822E+15
Tlaxcala;111662.69799999999;1.16474E+16;111972309;1.17236E+16;118240101;119841564;114299182;121829162;1.25891E+16;1.28975E+16;128120564;1.30496E+16;1370537;139167799;143920437;147752939;14787682;135083245;1.43213E+16;146637527;1.48814E+16
